fuel_type,generators,facilities,named_capacity_megawatts,summer_capacity_megawatts,us_state,in_year
Natural Gas,314,96,29607.8,25760,OH,2019
Other Gases,20,8,443,358.2,OH,2019
Wood and Wood Derived Fuels,10,4,145.6,88,OH,2019
Other Biomass,146,30,198,189.4,OH,2019
Petroleum,236,100,1497,1347,OH,2019
Solar Thermal and Photovoltaic,60,58,220.4,218,OH,2019
Wind,60,36,1436.8,1436.8,OH,2019
Coal,66,24,24464.8,22992,OH,2019
Hydroelectric Conventional,30,10,257.2,203.8,OH,2019
Other,14,12,66,66,OH,2019
Nuclear,4,4,4473.6,4268,OH,2019
Natural Gas,248,64,34862.4,29316.4,OK,2019
Petroleum,62,26,160.6,148.8,OK,2019
Coal,16,12,7146,6492,OK,2019
Hydroelectric Conventional,64,20,1638.6,1727.2,OK,2019
Pumped Storage,12,2,518.4,516,OK,2019
Solar Thermal and Photovoltaic,14,14,61,61,OK,2019
Wind,112,104,16341.4,16337.4,OK,2019
Other Biomass,6,4,40,36.8,OK,2019
Wood and Wood Derived Fuels,2,2,136,115.6,OK,2019
Natural Gas,94,26,8720.8,7460.4,OR,2019
Other Biomass,82,24,116.2,112.6,OR,2019
Wood and Wood Derived Fuels,46,22,600.8,517.4,OR,2019
Coal,2,2,1284.4,1170,OR,2019
Geothermal,8,4,73.4,39,OR,2019
Hydroelectric Conventional,372,130,16858.8,16634,OR,2019
Other,2,2,10,10,OR,2019
Solar Thermal and Photovoltaic,112,112,801.4,800.8,OR,2019
Wind,90,82,6852.4,6830.6,OR,2019
Coal,46,36,21051.8,18768.4,PA,2019
Natural Gas,406,128,50565.2,46240.4,PA,2019
Other Biomass,280,68,1005.4,878.2,PA,2019
Petroleum,188,70,4059.8,3134.6,PA,2019
Solar Thermal and Photovoltaic,66,60,165.6,161.8,PA,2019
Hydroelectric Conventional,124,34,1839,1799.2,PA,2019
Nuclear,16,8,19064.4,18186.4,PA,2019
Other,6,6,96.8,96.8,PA,2019
Pumped Storage,22,4,3082,3104,PA,2019
Wind,52,52,2926.8,2920,PA,2019
Other Gases,18,8,232,203.4,PA,2019
Wood and Wood Derived Fuels,4,4,186.2,160.4,PA,2019
Natural Gas,60,18,4004.2,3650,RI,2019
Wind,42,34,147,145.6,RI,2019
Petroleum,8,2,14.2,14.2,RI,2019
Hydroelectric Conventional,10,4,5.6,5.4,RI,2019
Other Biomass,20,6,90.6,80.2,RI,2019
Solar Thermal and Photovoltaic,42,42,159,159,RI,2019
Natural Gas,146,46,16346.6,13814.4,SC,2019
Wood and Wood Derived Fuels,30,18,1126.8,1016.8,SC,2019
Hydroelectric Conventional,206,62,2730,2623.8,SC,2019
Petroleum,86,34,1281.8,933.8,SC,2019
Coal,22,8,10163.2,9538,SC,2019
Nuclear,14,8,13750.2,13152.4,SC,2019
Other Biomass,44,20,99.4,92.2,SC,2019
Pumped Storage,32,6,5314.4,5432,SC,2019
Solar Thermal and Photovoltaic,124,122,1316,1312.4,SC,2019
Other,2,2,8,8,SC,2019
Petroleum,44,24,577.4,430.2,SD,2019
Coal,2,2,900,948,SD,2019
Hydroelectric Conventional,50,8,3296.8,3196,SD,2019
Natural Gas,36,18,2421.2,2024,SD,2019
Wind,38,32,2749.2,2751.8,SD,2019
Other,2,2,1.6,1.6,SD,2019
Solar Thermal and Photovoltaic,2,2,2,2,SD,2019
Wood and Wood Derived Fuels,2,2,10.8,10.8,SD,2019
Natural Gas,182,28,15383.2,12707.6,TN,2019
Solar Thermal and Photovoltaic,36,32,367,361,TN,2019
Coal,60,10,13273,11690.6,TN,2019
Hydroelectric Conventional,168,56,5008.8,5233.2,TN,2019
Nuclear,8,4,9961.6,9045.4,TN,2019
Other Biomass,22,8,29.2,28.4,TN,2019
Petroleum,48,6,95.2,86.4,TN,2019
Pumped Storage,8,2,3427.2,3232.6,TN,2019
Wind,8,4,57.6,58.2,TN,2019
Wood and Wood Derived Fuels,12,6,371.4,364,TN,2019
Natural Gas,1314,328,155415.2,137715.4,TX,2019
Other,46,38,697.8,676.4,TX,2019
Hydroelectric Conventional,94,48,1416,1340,TX,2019
Other Biomass,96,28,193.2,178.6,TX,2019
Petroleum,62,24,230.4,212.6,TX,2019
Solar Thermal and Photovoltaic,126,124,4888.4,4895.8,TX,2019
Wind,380,356,56128.4,56119,TX,2019
Coal,64,32,39980,37745.2,TX,2019
Wood and Wood Derived Fuels,18,12,679.2,624.2,TX,2019
Nuclear,8,4,10277.2,9920,TX,2019
Other Gases,18,14,960.6,805.8,TX,2019
Natural Gas,164,48,6525,5389,UT,2019
Other Biomass,22,8,27,25.6,UT,2019
Coal,18,10,9624.2,9162,UT,2019
Geothermal,10,6,167.6,141.4,UT,2019
Hydroelectric Conventional,108,58,529.2,519.2,UT,2019
Other,4,4,82.6,80.4,UT,2019
Petroleum,22,6,58.6,55.6,UT,2019
Solar Thermal and Photovoltaic,64,62,1833.4,1833.4,UT,2019
Wind,10,10,776.4,776.4,UT,2019
Coal,20,12,5973,5757.8,VA,2019
Natural Gas,198,58,29837.8,27386,VA,2019
Other,2,2,192,192,VA,2019
Other Biomass,682,46,702.8,618.6,VA,2019
Petroleum,360,76,5499.6,4681.6,VA,2019
Solar Thermal and Photovoltaic,54,54,1251.2,1112.2,VA,2019
Hydroelectric Conventional,150,50,1644.8,1732,VA,2019
Nuclear,8,4,7308.8,7136,VA,2019
Pumped Storage,18,4,6218.6,6482,VA,2019
Wood and Wood Derived Fuels,28,18,1143.6,991.2,VA,2019
Wood and Wood Derived Fuels,8,6,164.8,145.4,VT,2019
Hydroelectric Conventional,258,94,656.6,662.4,VT,2019
Other,12,12,21.8,21.8,VT,2019
Other Biomass,12,4,19.2,18.2,VT,2019
Petroleum,30,18,360.2,291.2,VT,2019
Solar Thermal and Photovoltaic,80,80,243.2,243,VT,2019
Wind,10,10,302,300.4,VT,2019
Natural Gas,88,36,8232.8,6772.8,WA,2019
Other Biomass,64,10,154,147.4,WA,2019
Petroleum,16,8,31,30.4,WA,2019
Hydroelectric Conventional,574,152,42354.2,42450.8,WA,2019
Nuclear,2,2,2400,2326,WA,2019
Other,8,6,12.8,12.4,WA,2019
Pumped Storage,12,2,628,628,WA,2019
Solar Thermal and Photovoltaic,4,4,39.4,39.4,WA,2019
Wind,48,42,6166.8,6146.2,WA,2019
Wood and Wood Derived Fuels,34,22,650.2,621.4,WA,2019
Coal,4,2,2919.6,2680,WA,2019
Natural Gas,194,92,15250.6,13564.4,WI,2019
Other Biomass,170,46,208,204.4,WI,2019
Petroleum,226,62,1529.8,1277.4,WI,2019
Solar Thermal and Photovoltaic,44,44,80.8,80.8,WI,2019
Wind,28,24,1469.6,639.4,WI,2019
Coal,34,20,11812.4,11081.6,WI,2019
Hydroelectric Conventional,492,132,1075.8,818,WI,2019
Wood and Wood Derived Fuels,30,18,611.2,513.2,WI,2019
Nuclear,4,2,2572,2402.2,WI,2019
Other,6,2,41.6,42.2,WI,2019
Coal,38,20,26143.4,25136,WV,2019
Hydroelectric Conventional,74,24,741.2,681.6,WV,2019
Natural Gas,34,8,2663.8,2417.8,WV,2019
Other,6,6,99,99,WV,2019
Petroleum,2,2,37,22,WV,2019
Other Biomass,4,2,6.4,6.4,WV,2019
Wind,14,12,1372.6,1372.6,WV,2019
Coal,56,24,14508.2,12806,WY,2019
Hydroelectric Conventional,64,32,606.8,614.2,WY,2019
Natural Gas,50,18,608.8,517,WY,2019
Petroleum,8,6,11.6,11.6,WY,2019
Wind,48,42,3178.6,2971.8,WY,2019
Solar Thermal and Photovoltaic,2,2,184,184,WY,2019
Other,4,4,24.8,24.8,WY,2019
Other Gases,14,6,295.4,204,WY,2019
Coal,34,10,351,305.6,AK,2018
Hydroelectric Conventional,126,64,952.4,941.2,AK,2018
Other Biomass,10,2,23,14,AK,2018
Petroleum,714,198,1642.4,1453.6,AK,2018
Natural Gas,122,30,2848.8,2561,AK,2018
Other,8,8,92.4,92.4,AK,2018
Wind,58,12,121.2,121.2,AK,2018
Natural Gas,218,58,30958.6,28518.6,AL,2018
Coal,26,10,13342.4,12677.4,AL,2018
Hydroelectric Conventional,206,48,6638.6,6584,AL,2018
Nuclear,10,4,10540.8,10740.8,AL,2018
Petroleum,28,8,95.6,85.2,AL,2018
Solar Thermal and Photovoltaic,12,12,393.8,388.2,AL,2018
Other,2,2,2,2,AL,2018
Other Biomass,10,4,12.8,12.8,AL,2018
Other Gases,6,4,57.6,39.6,AL,2018
Wood and Wood Derived Fuels,36,22,1320,1187.8,AL,2018
Natural Gas,116,34,14458.8,12204.4,AR,2018
Other Biomass,26,8,56.2,36.2,AR,2018
Coal,14,10,10974,10210.6,AR,2018
Hydroelectric Conventional,98,38,2641.8,2531.6,AR,2018
Nuclear,4,2,3690,3635.6,AR,2018
Petroleum,18,6,24.6,24.4,AR,2018
Pumped Storage,2,2,56,56,AR,2018
Solar Thermal and Photovoltaic,10,10,200,200,AR,2018
Wood and Wood Derived Fuels,24,10,726.2,626.4,AR,2018
Natural Gas,276,64,32937.4,27451.6,AZ,2018
Petroleum,12,8,256.6,181,AZ,2018
Solar Thermal and Photovoltaic,234,150,4134.6,4144.4,AZ,2018
Coal,26,10,12081.6,11158,AZ,2018
Hydroelectric Conventional,68,20,5436,5441.8,AZ,2018
Nuclear,6,2,8419.2,7874,AZ,2018
Other,8,8,64,64,AZ,2018
Pumped Storage,12,6,388.2,432.6,AZ,2018
Other Biomass,8,4,12,12,AZ,2018
Wind,10,10,534.6,534.6,AZ,2018
Wood and Wood Derived Fuels,4,4,60.4,49.4,AZ,2018
Natural Gas,1394,596,83591.2,75590.2,CA,2018
Other,86,70,694.6,675.8,CA,2018
Other Biomass,410,158,1153.6,1026.6,CA,2018
Solar Thermal and Photovoltaic,1590,1114,23675.2,23415.6,CA,2018
Wood and Wood Derived Fuels,70,60,1635,1384.8,CA,2018
Hydroelectric Conventional,886,502,20136.8,20368.6,CA,2018
Petroleum,262,38,1156.2,946.4,CA,2018
Wind,276,236,12155.6,12111.4,CA,2018
Geothermal,172,64,5584,3609.8,CA,2018
Nuclear,4,2,4646,4480,CA,2018
Pumped Storage,64,16,7491.2,7823.8,CA,2018
Coal,6,2,125,114,CA,2018
Other Gases,30,18,540.2,442.8,CA,2018
Natural Gas,252,60,15666,12913.2,CO,2018
Other Biomass,22,6,42.8,32.2,CO,2018
Hydroelectric Conventional,126,92,1339.8,1372.8,CO,2018
Solar Thermal and Photovoltaic,146,128,1065.2,1062.6,CO,2018
Wind,74,54,7408.4,7407.4,CO,2018
Coal,36,18,9810.6,8880,CO,2018
Other,8,8,31.2,31.2,CO,2018
Petroleum,94,26,401.4,332.8,CO,2018
Pumped Storage,10,6,1017,1125,CO,2018
Wood and Wood Derived Fuels,2,2,25.2,25.2,CO,2018
Natural Gas,156,82,10417,9761.4,CT,2018
Petroleum,130,52,4697,4053,CT,2018
Solar Thermal and Photovoltaic,64,58,172.2,173.6,CT,2018
Hydroelectric Conventional,78,28,237,244.4,CT,2018
Coal,2,2,800,766.8,CT,2018
Nuclear,4,2,4325.8,4146.2,CT,2018
Other,6,6,65.8,55.2,CT,2018
Other Biomass,24,14,422.6,330.2,CT,2018
Pumped Storage,6,2,62,58.8,CT,2018
Wind,2,2,10,2,CT,2018
Wood and Wood Derived Fuels,2,2,86,75,CT,2018
Natural Gas,4,2,21.6,18,DC,2018
Other Biomass,8,2,50.2,46,DC,2018
Natural Gas,58,20,5677.2,5342.6,DE,2018
Solar Thermal and Photovoltaic,20,20,66.8,66.6,DE,2018
Wind,2,2,4,4,DE,2018
Coal,2,2,891,820,DE,2018
Other Biomass,24,6,24.4,24.4,DE,2018
Petroleum,12,10,243.2,228.2,DE,2018
Other Gases,8,2,280,270,DE,2018
Natural Gas,568,138,89943.4,79048.2,FL,2018
Other Biomass,168,60,1672,1441.8,FL,2018
Petroleum,150,38,7842.8,6720,FL,2018
Solar Thermal and Photovoltaic,100,100,2803.2,2799,FL,2018
Coal,40,20,17269.2,15608,FL,2018
Hydroelectric Conventional,12,4,111.4,109,FL,2018
Nuclear,8,4,7594.4,7252,FL,2018
Other,28,16,832.6,725.4,FL,2018
Wood and Wood Derived Fuels,38,18,1161,1014,FL,2018
Natural Gas,264,66,37459.8,33245.8,GA,2018
Other Biomass,84,24,126.2,124,GA,2018
Wood and Wood Derived Fuels,68,32,1887.2,1774.8,GA,2018
Petroleum,180,48,2313.6,2058.4,GA,2018
Solar Thermal and Photovoltaic,98,92,2052.4,2034.4,GA,2018
Coal,30,10,20194.4,18797,GA,2018
Hydroelectric Conventional,196,60,3926.4,4094.4,GA,2018
Nuclear,8,4,8083.6,8122,GA,2018
Other,2,2,2,2,GA,2018
Pumped Storage,26,8,3269.2,3724.4,GA,2018
Coal,2,2,406,360,HI,2018
Petroleum,206,38,4125,3743.8,HI,2018
Other Biomass,28,10,560,533.8,HI,2018
Hydroelectric Conventional,28,16,54.2,51.8,HI,2018
Other,16,16,204.2,175.2,HI,2018
Solar Thermal and Photovoltaic,78,34,248.2,248.2,HI,2018
Geothermal,24,2,102,86,HI,2018
Wind,14,14,411.2,411.2,HI,2018
Other Gases,4,2,12,12.8,HI,2018
Natural Gas,208,80,8186.6,7161.4,IA,2018
Other Biomass,44,10,42.8,42.8,IA,2018
Coal,60,28,11643.4,10743.4,IA,2018
Petroleum,712,198,1877.4,1708,IA,2018
Wind,254,198,16773.4,16513.2,IA,2018
Hydroelectric Conventional,40,6,258.4,292.8,IA,2018
Other,2,2,2.2,2.2,IA,2018
Solar Thermal and Photovoltaic,10,10,18.4,17.8,IA,2018
Nuclear,2,2,1359,1202.8,IA,2018
Other Biomass,38,18,47.4,46.2,ID,2018
Wood and Wood Derived Fuels,8,6,212.4,121.6,ID,2018
Natural Gas,30,16,2527.8,2226.4,ID,2018
Hydroelectric Conventional,322,148,5374.2,5528.4,ID,2018
Petroleum,4,2,10,10.8,ID,2018
Wind,64,64,1948.8,1940.8,ID,2018
Geothermal,2,2,36,20,ID,2018
Solar Thermal and Photovoltaic,18,16,480,480,ID,2018
Coal,6,2,20.4,17,ID,2018
Other,2,2,31.8,29.6,ID,2018
Natural Gas,604,160,38039.4,31437.2,IL,2018
Other Biomass,100,32,204.2,177.6,IL,2018
Coal,92,38,27970.2,25252,IL,2018
Hydroelectric Conventional,58,18,79.4,68.2,IL,2018
Petroleum,366,76,1592,1348.4,IL,2018
Solar Thermal and Photovoltaic,18,18,81.8,81.2,IL,2018
Wind,82,72,9287,9237.6,IL,2018
Other,18,16,421.4,421.4,IL,2018
Nuclear,22,12,24830.2,23164.8,IL,2018
Other Gases,6,2,79.4,73,IL,2018
Coal,92,32,33952.8,30582.8,IN,2018
Natural Gas,204,70,18174.4,15838.8,IN,2018
Other Biomass,140,28,147.8,141.6,IN,2018
Petroleum,78,26,228,196.6,IN,2018
Wind,36,30,4619.6,4619.6,IN,2018
Hydroelectric Conventional,42,10,184.2,120.8,IN,2018
Other,6,6,233.2,220,IN,2018
Other Gases,40,14,1392.4,1238.6,IN,2018
Solar Thermal and Photovoltaic,122,122,432.6,432.4,IN,2018
Wind,76,68,10751.6,10718.4,KS,2018
Coal,18,10,9771.2,9340.4,KS,2018
Natural Gas,402,128,9063.4,7581.4,KS,2018
Nuclear,2,2,2535.4,2450,KS,2018
Petroleum,368,108,1403.2,1129,KS,2018
Solar Thermal and Photovoltaic,8,8,8,8.4,KS,2018
Hydroelectric Conventional,22,2,14,14,KS,2018
Other Biomass,18,4,18.4,18,KS,2018
Other,2,2,4,1.6,KS,2018
Coal,82,30,28387.4,23725.6,KY,2018
Hydroelectric Conventional,78,20,2194.6,2293.8,KY,2018
Natural Gas,114,30,16973.8,13999.2,KY,2018
Other Biomass,46,16,40.8,39.8,KY,2018
Petroleum,14,2,23,23.8,KY,2018
Solar Thermal and Photovoltaic,12,12,52.6,52.6,KY,2018
Wood and Wood Derived Fuels,6,4,186,104.6,KY,2018
Natural Gas,346,110,37830.8,31763.6,LA,2018
Coal,10,8,6340.4,5667.4,LA,2018
Nuclear,4,4,4471.4,4265.8,LA,2018
Other,36,20,728.8,578,LA,2018
Petroleum,18,12,2088.4,1868,LA,2018
Solar Thermal and Photovoltaic,2,2,2.2,2.2,LA,2018
Hydroelectric Conventional,16,2,384,384,LA,2018
Other Biomass,6,4,30.2,27.8,LA,2018
Other Gases,14,4,951.8,814.8,LA,2018
Wood and Wood Derived Fuels,30,16,1082.8,952.4,LA,2018
Natural Gas,200,80,15611.8,12871.2,MA,2018
Petroleum,160,54,5734.6,5198.4,MA,2018
Hydroelectric Conventional,156,60,542.8,534,MA,2018
Other Biomass,46,28,685.2,538.6,MA,2018
Solar Thermal and Photovoltaic,594,570,1489.8,1473.2,MA,2018
Wind,56,44,192,192.2,MA,2018
Other,10,8,12,15.8,MA,2018
Nuclear,2,2,1340,1358,MA,2018
Pumped Storage,12,4,3536,3536,MA,2018
Wood and Wood Derived Fuels,2,2,36,32,MA,2018
Coal,28,14,9454,8654,MD,2018
Natural Gas,126,38,14076.6,12486.4,MD,2018
Other Biomass,76,20,312.4,274.8,MD,2018
Other,10,6,38,26,MD,2018
Petroleum,116,34,2936,2553.8,MD,2018
Solar Thermal and Photovoltaic,122,122,710.4,542.8,MD,2018
Wood and Wood Derived Fuels,4,2,7.6,5.2,MD,2018
Hydroelectric Conventional,26,4,1101.6,1180,MD,2018
Nuclear,4,2,3657.4,3451.6,MD,2018
Wind,10,10,380,380,MD,2018
Petroleum,36,14,2208.8,2075.4,ME,2018
Wood and Wood Derived Fuels,46,30,1438,1291.2,ME,2018
Natural Gas,26,12,3136.8,2882.2,ME,2018
Other Biomass,16,10,100.2,82.6,ME,2018
Hydroelectric Conventional,458,108,1429.6,1464.8,ME,2018
Other,4,4,77.4,76.4,ME,2018
Solar Thermal and Photovoltaic,4,4,11.2,11.2,ME,2018
Wind,38,34,1843.2,1843.2,ME,2018
Coal,74,30,20264.4,18380.8,MI,2018
Natural Gas,372,122,23658.4,21326.2,MI,2018
Other Biomass,212,52,483.2,448,MI,2018
Other Gases,2,2,476,500,MI,2018
Petroleum,266,80,1131.4,1021.4,MI,2018
Solar Thermal and Photovoltaic,30,28,198.6,196.4,MI,2018
Hydroelectric Conventional,454,110,723.2,539.8,MI,2018
Nuclear,8,6,8628.2,8244.4,MI,2018
Other,2,2,2.2,2,MI,2018
Pumped Storage,12,2,3957.6,4304,MI,2018
Wind,60,48,3803.8,3801,MI,2018
Wood and Wood Derived Fuels,24,18,749.2,676,MI,2018
Natural Gas,214,78,12203.8,10443,MN,2018
Other Biomass,60,26,415.8,333.4,MN,2018
Wood and Wood Derived Fuels,24,12,618.6,525,MN,2018
Other,12,12,70.4,62.8,MN,2018
Petroleum,438,146,1802,1536.2,MN,2018
Wind,298,262,7531.2,7501,MN,2018
Coal,46,24,8975.4,8315.8,MN,2018
Hydroelectric Conventional,204,54,430.6,411.8,MN,2018
Nuclear,6,4,3742.4,3314,MN,2018
Solar Thermal and Photovoltaic,644,326,1483,1467.8,MN,2018
Natural Gas,266,82,14606,12133.2,MO,2018
Petroleum,368,98,2592.2,2225,MO,2018
Solar Thermal and Photovoltaic,38,36,124.2,124.2,MO,2018
Coal,46,24,22288.6,20941.8,MO,2018
Hydroelectric Conventional,40,12,1012,1097,MO,2018
Nuclear,2,2,2471.6,2380,MO,2018
Other,4,4,4.4,4.4,MO,2018
Other Biomass,20,10,29.6,28.2,MO,2018
Pumped Storage,18,6,1200.8,1314,MO,2018
Wind,16,16,1918.8,1908.6,MO,2018
Natural Gas,180,54,25662,22808.8,MS,2018
Other,4,2,3.2,2.8,MS,2018
Coal,6,4,3220.6,2888,MS,2018
Nuclear,2,2,2880,2802,MS,2018
Petroleum,12,4,38,38.6,MS,2018
Other Biomass,2,2,3.2,3.2,MS,2018
Solar Thermal and Photovoltaic,10,10,321.2,321.2,MS,2018
Wood and Wood Derived Fuels,20,8,622,601.6,MS,2018
Petroleum,2,2,136,104,MT,2018
Coal,20,12,5161.4,4595.2,MT,2018
Hydroelectric Conventional,148,46,5406,5535.4,MT,2018
Natural Gas,36,12,949.2,787.6,MT,2018
Wind,30,30,1584.6,1567,MT,2018
Other,16,4,120,120,MT,2018
Solar Thermal and Photovoltaic,12,12,34,34,MT,2018
Other Gases,2,2,3.2,3,MT,2018
Wood and Wood Derived Fuels,2,2,5.6,6,MT,2018
Coal,58,20,22438.8,21009.6,NC,2018
Other Biomass,172,44,196.8,187.2,NC,2018
Petroleum,222,94,1159,1005.2,NC,2018
Wood and Wood Derived Fuels,28,18,1070,930.6,NC,2018
Hydroelectric Conventional,214,82,3780.8,4004,NC,2018
Natural Gas,190,38,26213,22226.2,NC,2018
Solar Thermal and Photovoltaic,1124,1058,8015.8,7996.2,NC,2018
Nuclear,10,6,10789.4,10299.2,NC,2018
Other,4,4,110,110,NC,2018
Pumped Storage,2,2,190,172,NC,2018
Wind,2,2,416,416,NC,2018
Petroleum,28,16,139.4,126.4,ND,2018
Wind,76,68,6458,6443.6,ND,2018
Coal,28,18,8488.2,8084.8,ND,2018
Hydroelectric Conventional,10,2,1228,1020,ND,2018
Natural Gas,42,6,1367.2,1039.2,ND,2018
Other,2,2,10.6,10.6,ND,2018
Other Biomass,4,2,19.6,19.6,ND,2018
Other Gases,6,2,15,16.8,ND,2018
Other Biomass,34,8,31.4,31.4,NE,2018
Coal,34,20,7965.8,7734,NE,2018
Hydroelectric Conventional,44,22,664.6,555.8,NE,2018
Natural Gas,198,66,4569.8,4026,NE,2018
Nuclear,2,2,1602,1540,NE,2018
Petroleum,204,74,740.2,644,NE,2018
Solar Thermal and Photovoltaic,12,10,35.8,36,NE,2018
Wind,64,52,3400,3400.4,NE,2018
Other Biomass,20,8,67,62.2,NH,2018
Petroleum,28,16,1041.8,988.4,NH,2018
Coal,8,4,1118.4,1067.8,NH,2018
Hydroelectric Conventional,176,66,1027.6,1008,NH,2018
Wood and Wood Derived Fuels,16,16,486.8,419.8,NH,2018
Natural Gas,14,6,2801,2523.6,NH,2018
Nuclear,2,2,2484,2502.8,NH,2018
Wind,8,8,370.6,366.2,NH,2018
Coal,6,6,1381,1218,NJ,2018
Natural Gas,284,96,25707.4,22806.2,NJ,2018
Other Biomass,90,34,524.6,454.6,NJ,2018
Petroleum,38,22,906.8,793.2,NJ,2018
Solar Thermal and Photovoltaic,516,426,1543.8,1529.6,NJ,2018
Other,10,10,68,67,NJ,2018
Pumped Storage,6,2,906,840,NJ,2018
Hydroelectric Conventional,14,4,29.4,24.6,NJ,2018
Nuclear,6,4,7261.4,7000.4,NJ,2018
Wind,4,4,18,15.2,NJ,2018
Other Gases,4,2,60,58,NJ,2018
Natural Gas,102,40,7533.8,6530.6,NM,2018
Other Biomass,8,4,10.8,10.8,NM,2018
Wind,48,42,3630.8,3630.8,NM,2018
Coal,10,6,5634.4,5280,NM,2018
Hydroelectric Conventional,20,10,163.4,165.8,NM,2018
Other,8,6,7.2,7.2,NM,2018
Petroleum,24,6,118.8,96,NM,2018
Solar Thermal and Photovoltaic,118,112,1124.4,1122.8,NM,2018
Geothermal,10,2,38.4,17.2,NM,2018
Natural Gas,180,32,16728.4,14150.4,NV,2018
Geothermal,114,46,1610.6,1356.2,NV,2018
Solar Thermal and Photovoltaic,122,68,3852,3800.4,NV,2018
Coal,6,4,1618,1480.8,NV,2018
Hydroelectric Conventional,34,12,2104.4,2102.8,NV,2018
Other,2,2,15,13,NV,2018
Petroleum,6,2,12,12,NV,2018
Other Biomass,8,4,30.4,19.6,NV,2018
Wind,2,2,300,300,NV,2018
Natural Gas,640,212,48215,43521.6,NY,2018
Other Biomass,236,64,876,772.2,NY,2018
Wood and Wood Derived Fuels,8,8,295.4,276,NY,2018
Hydroelectric Conventional,814,328,9383.2,9122.6,NY,2018
Petroleum,566,152,7758.4,7117.6,NY,2018
Solar Thermal and Photovoltaic,214,202,537.2,529,NY,2018
Wind,66,54,3982.4,3971.4,NY,2018
Pumped Storage,32,4,2480,2817.2,NY,2018
Coal,28,8,3475.4,3263,NY,2018
Nuclear,12,10,11418.8,10806,NY,2018
Other,6,6,52,52,NY,2018
Natural Gas,304,94,29525,25529.4,OH,2018
Other Gases,20,8,445,374.2,OH,2018
Wood and Wood Derived Fuels,14,6,153,100.6,OH,2018
Other Biomass,152,32,207.6,199,OH,2018
Petroleum,248,104,1613.8,1446.2,OH,2018
Solar Thermal and Photovoltaic,50,48,169.6,167.2,OH,2018
Wind,60,36,1436.8,1436.8,OH,2018
Coal,70,24,26240.4,24492,OH,2018
Hydroelectric Conventional,30,10,257.2,203.8,OH,2018
Other,14,12,66,66,OH,2018
Nuclear,4,4,4473.6,4268,OH,2018
Coal,26,14,9662,8607,OK,2018
Natural Gas,240,58,32452.4,27448.2,OK,2018
Petroleum,62,26,160.6,148.8,OK,2018
Hydroelectric Conventional,64,20,1638.6,1727.2,OK,2018
Pumped Storage,12,2,518.4,516,OK,2018
Solar Thermal and Photovoltaic,14,14,61,61,OK,2018
Wind,110,102,16141.4,16141.4,OK,2018
Other Biomass,6,4,40,36.8,OK,2018
Wood and Wood Derived Fuels,2,2,136,115.6,OK,2018
Natural Gas,94,26,8661.4,7482.2,OR,2018
Other Biomass,82,24,116.2,112,OR,2018
Wood and Wood Derived Fuels,46,22,600.8,517.4,OR,2018
Coal,2,2,1284.4,1170,OR,2018
Geothermal,8,4,73.4,39,OR,2018
Hydroelectric Conventional,394,132,16904.4,16804.6,OR,2018
Other,2,2,10,10,OR,2018
Solar Thermal and Photovoltaic,90,90,625.6,625,OR,2018
Wind,88,80,6422.4,6420.4,OR,2018
Coal,56,40,25795.4,23072.4,PA,2018
Natural Gas,372,120,46444.4,42164,PA,2018
Other Biomass,282,70,1016.4,893.6,PA,2018
Petroleum,188,70,4059.8,3110.6,PA,2018
Solar Thermal and Photovoltaic,58,52,119.4,115.6,PA,2018
Hydroelectric Conventional,124,34,1839,1799.2,PA,2018
Nuclear,18,10,21026,19594,PA,2018
Other,6,6,96.8,96.8,PA,2018
Pumped Storage,22,4,3082,3166,PA,2018
Wind,50,50,2746.8,2740,PA,2018
Other Gases,18,8,232,203.4,PA,2018
Wood and Wood Derived Fuels,4,4,186.2,160.4,PA,2018
Natural Gas,60,18,4004.2,3650,RI,2018
Wind,28,20,105,103.6,RI,2018
Petroleum,8,2,14.2,14.2,RI,2018
Hydroelectric Conventional,10,4,5.6,5.4,RI,2018
Other Biomass,20,6,90.6,80.2,RI,2018
Solar Thermal and Photovoltaic,28,28,63.2,63.2,RI,2018
Natural Gas,144,40,15500.2,12977.8,SC,2018
Wood and Wood Derived Fuels,28,18,1070.8,960.8,SC,2018
Hydroelectric Conventional,206,62,2702.4,2647.8,SC,2018
Petroleum,82,32,1274.8,926.8,SC,2018
Coal,26,12,11053.8,10424,SC,2018
Nuclear,14,8,13750.2,13152.4,SC,2018
Other Biomass,44,20,99.4,92.2,SC,2018
Pumped Storage,32,6,5314.4,5432,SC,2018
Solar Thermal and Photovoltaic,78,76,706,702.2,SC,2018
Other,2,2,8,8,SC,2018
Petroleum,48,26,584.8,448,SD,2018
Coal,2,2,900,948,SD,2018
Hydroelectric Conventional,50,8,3204.2,3196,SD,2018
Natural Gas,34,16,2414,1986.6,SD,2018
Wind,32,26,1755.6,1755.6,SD,2018
Other,2,2,1.6,1.6,SD,2018
Solar Thermal and Photovoltaic,2,2,2,2,SD,2018
Natural Gas,178,26,15260.4,12603.6,TN,2018
Solar Thermal and Photovoltaic,32,30,361.2,355.6,TN,2018
Coal,60,10,13273,11690.6,TN,2018
Hydroelectric Conventional,168,56,5043.8,5233.2,TN,2018
Nuclear,8,4,9961.6,9045.4,TN,2018
Other Biomass,22,8,29.2,28.4,TN,2018
Petroleum,48,6,95.2,86.4,TN,2018
